index,mmr_ancestors,mmr_samples,mean_iqs,median_iqs,perc_et_100_iqs,perc_gt_90_iqs,perc_gt_80_iqs,perc_gt_70_iqs
0,-2,-2,0.9088941929657234,1.0,0.6406755300035932,0.8559108875314408,0.8925619834710744,0.9065756378009342
1,-2,-1,0.9145192332781714,1.0,0.6603982300884956,0.8550884955752213,0.8978613569321534,0.9137168141592921
2,-2,0,0.9143102947783975,1.0,0.6595273264401772,0.854135893648449,0.8977104874446086,0.9135893648449039
3,-2,1,0.9151764914441242,1.0,0.6636904761904762,0.8571428571428571,0.8995535714285714,0.9151785714285714
4,-2,2,0.8973892699003387,1.0,0.532387888079724,0.8106554235339211,0.8765810655423534,0.9041778459179762
5,-2,3,0.8852792585099389,0.9849420268,0.4631537242472266,0.7951664025356577,0.866877971473851,0.8946117274167987
6,-2,4,0.8770320835725783,0.95680330435,0.3312074829931973,0.7125850340136054,0.8613945578231292,0.8966836734693877
7,-2,-7,0.9120756144587565,1.0,0.6473199044042335,0.8627517924206214,0.896210310686241,0.908842608398771
8,-2,-6,0.9120524505642752,1.0,0.6475409836065574,0.8627049180327869,0.8961748633879781,0.9088114754098361
9,-2,-5,0.9120224035709593,1.0,0.6474205671335839,0.8626580116159891,0.8961393918688076,0.9087803211479331
10,-2,-4,0.908627100538785,1.0,0.6592693752133834,0.8508023216114715,0.8890406282007511,0.902697166268351
11,-2,-3,0.9076361639672773,1.0,0.6579219882637211,0.8498446668967898,0.8888505350362443,0.9016223679668622
12,-1,-2,0.8946436838565569,1.0,0.5937037037037037,0.82,0.8714814814814815,0.8948148148148148
13,-1,-1,0.903095976862945,1.0,0.6074411541381929,0.8249810174639332,0.8747152619589977,0.9020501138952164
14,-1,0,0.9029225307344971,1.0,0.60790273556231,0.8252279635258358,0.8742401215805471,0.9023556231003039
15,-1,1,0.9028320436691969,1.0,0.6076335877862595,0.8263358778625954,0.8744274809160305,0.9022900763358779
16,-1,2,0.8831191563961026,0.9829059829,0.45461689587426324,0.7980353634577603,0.862475442043222,0.8903732809430256
17,-1,3,0.877708465281759,0.9743194658,0.4185667752442997,0.7829804560260586,0.8615635179153095,0.8892508143322475
18,-1,4,0.8660291248008276,0.9555160142,0.3272490221642764,0.6827466318991743,0.8435462842242504,0.8900478053020426
19,-1,-7,0.9023837730329665,1.0,0.6249112845990064,0.8442157558552165,0.8846699787083038,0.9017033356990773
20,-1,-6,0.9023564112549164,1.0,0.625133120340788,0.8441604543840966,0.8846290379836705,0.9016684416045438
21,-1,-5,0.9023217366850494,1.0,0.625,0.8441051136363636,0.8845880681818182,0.9016335227272727
22,-1,-4,0.8967480058447213,1.0,0.6360737065910702,0.8355776045357902,0.874202693125443,0.8944011339475549
23,-1,-3,0.892663282784859,1.0,0.6292857142857143,0.8235714285714286,0.8696428571428572,0.89
24,0,-2,0.8940092371832294,1.0,0.5944341372912801,0.8192949907235622,0.8712430426716141,0.8946196660482375
25,0,-1,0.9038476155013714,1.0,0.6136277122192615,0.824514655500571,0.877426722497145,0.9029311001141987
26,0,0,0.9028975860094117,1.0,0.6086128048780488,0.8254573170731707,0.8742378048780488,0.9024390243902439
27,0,1,0.9027052607942981,1.0,0.6071155317521041,0.8255547054322877,0.8752869166029075,0.9020657995409335
28,0,2,0.8825804422367941,0.98291911195,0.4562647754137116,0.7978723404255319,0.8620961386918834,0.8900709219858156
29,0,3,0.878609275111334,0.9829059829,0.4165302782324059,0.7884615384615384,0.8608837970540099,0.8899345335515548
30,0,4,0.866426460000744,0.9555160142,0.3337690631808279,0.6836601307189543,0.8427015250544663,0.8901960784313725
31,0,-7,0.9021330834723643,1.0,0.6246438746438746,0.8436609686609686,0.8846153846153846,0.9017094017094017
32,0,-6,0.9021055349086566,1.0,0.6248664054150338,0.8436052725329534,0.8845742785892412,0.9016743854649092
33,0,-5,0.902070647358731,1.0,0.6247327156094085,0.8435495367070563,0.8845331432644333,0.9016393442622951
34,0,-4,0.8964900003050864,1.0,0.635846372688478,0.8349928876244666,0.8741109530583214,0.8943812233285917
35,0,-3,0.8923882244125821,1.0,0.6293906810035842,0.8229390681003584,0.8695340501792115,0.8899641577060932
36,1,-2,0.8884438103457502,1.0,0.5920954511558538,0.8124533929903057,0.8642803877703207,0.8870246085011185
37,1,-1,0.8995228271188872,1.0,0.6076628352490422,0.8206896551724138,0.8693486590038314,0.8984674329501916
38,1,0,0.8993590291765519,1.0,0.6082118188795088,0.8192632386799693,0.8714504988488104,0.898695318495779
39,1,1,0.8994842163410385,1.0,0.608092485549133,0.8219653179190751,0.8709055876685935,0.8978805394990366
40,1,2,0.8817586046068514,0.9855177408,0.4874451972897569,0.7931446791550418,0.8541251494619371,0.8852132323634915
41,1,3,0.8775910086814259,0.9735449735,0.4062887877534133,0.7798924286305338,0.8539511791477038,0.886222589987588
42,1,4,0.8615593740954298,0.948024948,0.3035635723713154,0.6788385393752749,0.8420589529256489,0.8900131984161901
43,1,-7,0.8973603709015424,1.0,0.6223098995695839,0.836441893830703,0.8787661406025825,0.8956241032998565
44,1,-6,0.8973309121534625,1.0,0.6225331898098314,0.8363832077502691,0.8787226408324363,0.8955866523143164
45,1,-5,0.8972940603631371,1.0,0.6223977027997128,0.83632447954056,0.8786791098348887,0.8955491744436468
46,1,-4,0.891636679913392,1.0,0.6337271750805585,0.8252774794128177,0.8678839957035446,0.8882921589688507
47,1,-3,0.8882667808724504,1.0,0.6267580238009376,0.8157230436350523,0.8626036783267219,0.8838802740714028
