index,mmr_ancestors,mmr_samples,mean_iqs
0,-2,-2,0.8713008548102009
1,-2,-1,0.8751753204585087
2,-2,0,0.8767681778276754
3,-2,1,0.8764281574148578
4,-2,2,0.8558141880064977
5,-2,3,0.8331862800872178
6,-2,4,0.8220835804375474
7,-2,-7,0.8754768908479567
8,-2,-6,0.8751837957868276
9,-2,-5,0.8751416281502691
10,-2,-4,0.8703598436048888
11,-2,-3,0.8703473771508033
12,-1,-2,0.8555120786516862
13,-1,-1,0.8504204001433499
14,-1,0,0.8538010823262917
15,-1,1,0.8538706732275805
16,-1,2,0.8470396792920203
17,-1,3,0.8309056861323126
18,-1,4,0.8088518416801548
19,-1,-7,0.8662457453485052
20,-1,-6,0.8640928024963804
21,-1,-5,0.8640450487375948
22,-1,-4,0.8619993556167364
23,-1,-3,0.8586006940302228
24,0,-2,0.8552550495675973
25,0,-1,0.8531064228471256
26,0,0,0.8537298524426319
27,0,1,0.8534770624285395
28,0,2,0.8470180132092875
29,0,3,0.8303374690755171
30,0,4,0.8081789935386877
31,0,-7,0.8662798753153668
32,0,-6,0.8641193436622119
33,0,-5,0.8640714308778897
34,0,-4,0.8620265790533871
35,0,-3,0.8586807160798497
36,1,-2,0.8513396870933594
37,1,-1,0.8496292718015854
38,1,0,0.852418644551193
39,1,1,0.8528200677853062
40,1,2,0.8427663997502753
41,1,3,0.8300585635404021
42,1,4,0.7989860792507575
43,1,-7,0.8652290130863322
44,1,-6,0.8630477218763678
45,1,-5,0.862998967060375
46,1,-4,0.8610025335709396
47,1,-3,0.8555930568448938
48,2,-2,0.8520457037068522
49,2,-1,0.8540606653529391
50,2,0,0.8505233730338853
51,2,1,0.8507067642037774
52,2,2,0.8380020507947572
53,2,3,0.8278190662304614
54,2,4,0.7924743878327858
55,2,-7,0.8581837833098962
56,2,-6,0.8566377291487255
57,2,-5,0.8565845926510045
58,2,-4,0.8549193330518766
59,2,-3,0.8512778800273043
60,3,-2,0.8565633195439205
61,3,-1,0.8578706724558162
62,3,0,0.8567647264056849
63,3,1,0.8583511355735706
64,3,2,0.8454118084229284
65,3,3,0.8249785890090867
66,3,4,0.7866515416508265
67,3,-7,0.856435963940303
68,3,-6,0.8548204780010852
69,3,-5,0.8547642504557719
70,3,-4,0.8564077453223411
71,3,-3,0.8543926269516132
72,4,-2,0.8283255599392648
73,4,-1,0.8218029444130994
74,4,0,0.8182098526120455
75,4,1,0.8180793712640047
76,4,2,0.8093877078655429
77,4,3,0.8059748899854228
78,4,4,0.7499552345128063
79,4,-7,0.8381630958681505
80,4,-6,0.8364033377592962
81,4,-5,0.8363346573805217
82,4,-4,0.8355915968199342
83,4,-3,0.8357555917743436
84,-7,-2,0.8759892637463694
85,-7,-1,0.8833315456063306
86,-7,0,0.8824152861923449
87,-7,1,0.8830839998572761
88,-7,2,0.8625687643413057
89,-7,3,0.8462269781710088
90,-7,4,0.8304813757730813
91,-7,-7,0.8841460335364161
92,-7,-6,0.8810951811898772
93,-7,-5,0.8810405473486264
94,-7,-4,0.8794445029096939
95,-7,-3,0.87987346266245
96,-6,-2,0.8762435693272203
97,-6,-1,0.8835997144646093
98,-6,0,0.8826831082178795
99,-6,1,0.8836565641129985
100,-6,2,0.86284490489887
101,-6,3,0.8477100514981014
102,-6,4,0.8304502222483068
103,-6,-7,0.884465427522846
104,-6,-6,0.8810589186650799
105,-6,-5,0.8810042460203836
106,-6,-4,0.8796767210877292
107,-6,-3,0.8801097758585076
108,-5,-2,0.8759215579129661
109,-5,-1,0.8835794964983121
110,-5,0,0.8826622508638742
111,-5,1,0.8836758051293802
112,-5,2,0.8629035045870254
113,-5,3,0.846540564624303
114,-5,4,0.8304296712889717
115,-5,-7,0.8844710027852896
116,-5,-6,0.8810816260661971
117,-5,-5,0.8810269004805363
118,-5,-4,0.879707710758578
119,-5,-3,0.8800889460585442
120,-4,-2,0.8755215268257082
121,-4,-1,0.882566516649219
122,-4,0,0.8812814742504209
123,-4,1,0.8824279590327493
124,-4,2,0.8614996130641018
125,-4,3,0.8466244735588625
126,-4,4,0.8278705652254627
127,-4,-7,0.8846680483871651
128,-4,-6,0.881264862003647
129,-4,-5,0.8812100306018087
130,-4,-4,0.879990204534626
131,-4,-3,0.8800912926363512
132,-3,-2,0.8750101018705331
133,-3,-1,0.8834088415915934
134,-3,0,0.8826974101128606
135,-3,1,0.8841152718105263
136,-3,2,0.861098839480575
137,-3,3,0.8454550928125963
138,-3,4,0.8300164806477076
139,-3,-7,0.8827346562114547
140,-3,-6,0.8793918404778339
141,-3,-5,0.8793261442667161
142,-3,-4,0.8770406772985965
143,-3,-3,0.8782907333878417
